Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CR1,FSV20100V,TO-277,168.41,-59.94,180.0,top
D1,BAV21W_RHG,DIO_BAV21W_RHG,160.075,-74.375,90.0,top
J1,5018762640,JST_PHD_B26B-PHDSS_2x13_P2.00mm_Vertical,176.15,-54.5925,-90.0,top
J2,USB_C_Receptacle,USB_C_Receptacle_Amphenol_12401548E4-2A,151.49,-75.2,-90.0,top
J3,RJ45,RJ45_Amphenol_54602-x08_Horizontal,160.3,-56.2575,-90.0,top
K1,G6K-2P-Y_DC5,RELAY_G6K-2P-Y_DC3,168.5145,-68.19,0.0,top
Q1,DDTC114ECA-7-F ,SOT-23,163.075,-70.95,-90.0,top
R1,120R,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,168.675,-55.875,180.0,top
R4,1K,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,163.0,-76.725,-90.0,top
R5,10R,R_0603_1608Metric,170.55,-53.475,180.0,top
R6,10R,R_0603_1608Metric,166.8,-53.55,180.0,top
R7,120R,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,167.02,-77.08,-90.0,top
R8,120R,R_2010_5025Metric_Pad1.40x2.65mm_HandSolder,170.41,-77.05,-90.0,top
